순위,호선,역번호,역명,연간수송인원수
1,2,222,강남,36184549
2,2,216,잠실(2),34209780
3,2,239,홍대입구,33488236
4,2,230,신림,28109759
5,2,232,구로디지털단지,27262648
6,1,150,서울역(1),26147934
7,2,234,신도림,24498111
8,2,219,삼성,24367213
9,3,329,고속터미널(3),24183085
10,2,221,역삼,23691521
11,2,220,선릉,23338904
12,2,228,서울대입구,21901505
13,7,2748,가산디지털단지(7),21650755
14,1,152,종각,20637943
15,3,332,양재,20083204
16,2,202,을지로입구,19968719
17,2,211,성수,19202016
18,4,420,혜화,19157867
19,2,240,신촌,18008692
20,3,326,압구정,17829718
21,2,226,사당(2),17793614
22,3,311,연신내(3),17627693
23,4,414,수유,17287960
24,2,212,건대입구(2),16813982
25,3,327,신사,16786507
26,3,331,남부터미널,16327547
27,2,238,합정(2),16199483
28,2,223,교대(2),14775693
29,5,2534,광화문,14772184
30,2,214,강변,14539688
31,5,2519,까치산(5),14460256
32,4,413,쌍문,14190423
33,1,154,종로5가,13602294
34,4,412,창동,13593107
35,4,416,미아사거리,13548271
36,1,153,종로3가(1),13532303
37,4,425,회현,13448230
38,1,151,시청(1),13417043
39,5,2527,여의도(5),13398085
40,5,2518,화곡,13294962
41,4,423,충무로(4),12932535
42,2,227,낙성대,12897322
43,4,433,사당(4),12728300
44,3,318,안국,12647601
45,3,317,경복궁,12641796
46,4,424,명동,12391756
47,2,231,신대방,12298060
48,1,158,청량리,11659963
49,2,210,뚝섬,11469635
50,7,2749,철산,11339035
51,7,2750,광명사거리,11294151
52,8,2819,문정,11255869
53,4,432,이수(총신대입구),11224802
54,2,233,대림(2),11210036
55,7,2733,학동,11039436
56,2,201,시청(2),10967868
57,5,2522,오목교,10944680
58,3,310,구파발,10873336
59,9,4129,봉은사,10858966
60,2,203,을지로3가(2),10835996
61,2,229,봉천,10765299
62,2,213,구의,10716914
63,4,417,길음,10607759
64,2,235,문래,10582987
65,4,418,성신여대입구,10372647
66,1,157,제기동,10106679
67,2,236,영등포구청(2),10099150
68,2,217,잠실새내,10047736
69,4,421,동대문(4),9842083
70,8,2811,암사,9754988
71,5,2544,장한평,9751255
72,2,224,서초,9736127
73,5,2516,발산,9568733
74,5,2549,강동,9434966
75,4,410,상계,9265040
76,7,2715,노원(7),9241716
77,6,2611,응암,9187522
78,8,2820,장지,9171769
79,4,429,신용산,9065646
80,5,2533,서대문,9049930
81,3,339,수서,9033045
82,4,411,노원(4),9017132
83,7,2731,청담,8994768
84,3,314,홍제,8837993
85,7,2717,하계,8799725
86,2,237,당산,8758221
87,5,2548,천호(5),8749020
88,6,2627,공덕(6),8484460
89,7,2734,논현,8477462
90,5,2521,목동,8299448
91,7,2722,상봉(7),8195019
92,3,312,불광(3),8157163
93,7,2724,사가정,8117202
94,5,2543,답십리,8091399
95,7,2723,면목,7842125
96,8,2815,잠실(8),7840630
97,5,2563,미사,7838817
98,2,225,방배,7794397
99,6,2622,망원,7790745
100,7,2747,남구로,7785395
101,7,2728,어린이대공원,7780960
102,7,2738,이수(7),7773033
103,7,2736,고속터미널(7),7702779
104,5,2546,아차산,7697258
105,5,2528,여의나루,7677433
106,8,2812,천호(8),7639010
107,2,208,왕십리(2),7486358
108,7,2732,강남구청,7458134
109,7,2743,신대방삼거리,7443847
110,2,241,이대,7390196
111,4,415,미아,7370795
112,3,313,녹번,7341831
113,4,419,한성대입구,7341000
114,1,156,신설동(1),7288137
115,4,426,서울역(4),7283016
116,8,2823,남한산성입구,7238787
117,6,2619,디지털미디어시티(6),7232219
118,5,2529,마포,7226231
119,4,427,숙대입구,7143197
120,5,2554,상일동,7100850
121,7,2716,중계,7088253
122,6,2631,이태원,7070195
123,6,2621,마포구청,7001749
124,6,2645,석계(6),6894183
125,2,207,상왕십리,6864892
126,2,206,신당(2),6837371
127,7,2737,내방,6834242
128,5,2517,우장산,6833340
129,4,422,동대문역사문화공원(4),6708411
130,6,2640,안암,6650306
131,7,2740,숭실대입구,6559268
132,5,2530,공덕(5),6555388
133,2,215,잠실나루,6510371
134,5,2547,광나루,6507376
135,7,2727,군자(7),6503164
136,6,2617,새절,6492776
137,7,2713,수락산,6474759
138,7,2714,마들,6450048
139,6,2642,월곡,6415307
140,3,333,매봉,6388148
141,5,2535,종로3가(5),6365432
142,3,323,약수(3),6272979
143,1,155,동대문(1),6224288
144,7,2729,건대입구(7),6170892
145,9,4126,언주,6164168
146,7,2718,공릉,6162317
147,5,2520,신정,6151667
148,3,330,교대(3),6128853
149,2,205,동대문역사문화공원(2),6005845
150,2,218,종합운동장(2),6002073
151,6,2647,화랑대,5952210
152,6,2623,합정(6),5950511
153,2,204,을지로4가(2),5816282
154,9,4127,선정릉,5781642
155,3,335,대치,5757850
156,7,2745,신풍,5701337
157,9,4138,중앙보훈병원,5676582
158,8,2824,단대오거리,5601289
159,8,2813,강동구청,5568083
160,2,209,한양대,5521226
161,7,2751,천왕,5442931
162,5,2545,군자(5),5443203
163,7,2726,중곡,5441295
164,7,2739,남성,5437287
165,3,319,종로3가(3),5431323
166,1,159,동묘앞(1),5424831
167,7,2741,상도,5395125
168,3,322,동대입구,5378878
169,2,249,신정네거리,5348658
170,6,2624,상수,5336313
171,6,2618,증산,5245476
172,8,2821,복정(8),5162842
173,7,2721,중화,5150112
174,4,430,이촌,5136446
175,3,338,일원,5134362
176,6,2632,한강진,5064196
177,6,2644,돌곶이,5043825
178,7,2720,먹골,5039468
179,5,2560,거여,5016905
180,2,242,아현,4888055
181,5,2525,영등포시장,4884566
182,9,4133,석촌(9),4884208
183,3,337,대청,4878039
184,7,2730,뚝섬유원지,4867025
185,7,2712,도봉산(7),4841798
186,7,2752,온수(7),4783176
187,3,325,옥수,4763192
188,6,2648,봉화산,4738541
189,5,2515,마곡,4736242
190,3,320,을지로3가(3),4688055
191,4,409,당고개,4683744
192,5,2551,굽은다리,4658937
193,9,4136,올림픽공원(9),4601773
194,6,2641,고려대,4542814
195,5,2553,고덕,4535015
196,8,2817,송파,4472616
197,2,243,충정로(2),4467472
198,6,2637,동묘앞(6),4430058
199,8,2816,석촌(8),4372661
200,6,2626,대흥,4366479
201,5,2555,둔촌동,4304086
202,6,2625,광흥창,4303503
203,7,2742,장승배기,4249931
204,3,340,가락시장(3),4232706
205,5,2552,명일,4211825
206,7,2746,대림(7),4147183
207,7,2719,태릉입구(7),4146177
208,9,4128,삼성중앙,4040676
209,7,2744,보라매,4036288
210,6,2636,신당(6),4023456
211,5,2550,길동,3991237
212,5,2540,행당,3966562
213,3,324,금호,3944476
214,9,4131,삼전,3918537
215,8,2818,가락시장(8),3913923
216,3,341,경찰병원,3781692
217,5,2513,김포공항(5),3733943
218,6,2639,보문,3729597
219,5,2561,마천,3712891
220,3,316,독립문,3705232
221,6,2616,구산,3679235
222,9,4132,석촌고분,3593030
223,6,2628,효창공원앞,3573908
224,5,2557,방이,3557647
225,2,248,양천구청,3547849
226,8,2814,몽촌토성,3453952
227,6,2643,상월곡,3392403
228,5,2523,양평(5),3386463
229,5,2531,애오개,3290069
230,5,2539,신금호,3287722
231,6,2629,삼각지(6),3196746
232,5,2565,하남시청,3196203
233,5,2559,개롱,3193107
234,5,2511,방화,3190021
235,9,4134,송파나루,3103235
236,7,2725,용마산,3083581
237,6,2620,월드컵경기장,2971823
238,6,2646,태릉입구(6),2951229
239,5,2514,송정,2869690
240,4,428,삼각지(4),2837316
241,8,2822,산성,2834299
242,6,2630,녹사평,2828765
243,8,2828,남위례,2798414
244,5,2566,하남검단산,2794212
245,3,342,오금(3),2779036
246,3,309,지축,2763000
247,5,2542,마장,2756049
248,9,4130,종합운동장(9),2741063
249,7,2735,반포,2710240
250,8,2826,수진,2669274
251,5,2512,개화산,2661859
252,3,334,도곡,2630401
253,3,328,잠원,2463179
254,5,2536,을지로4가(5),2389758
255,8,2825,신흥,2346044
256,5,2556,올림픽공원(5),2243790
257,5,2562,강일,2177788
258,6,2613,불광(6),2062016
259,5,2532,충정로(5),2031464
260,6,2612,역촌,2025229
261,3,315,무악재,2012560
262,5,2526,신길(5),1970415
263,5,2564,하남풍산,1923848
264,2,246,신설동(2),1885703
265,5,2541,왕십리(5),1862964
266,8,2827,모란(8),1842903
267,6,2638,창신,1803746
268,6,2634,약수(6),1798401
269,5,2538,청구(5),1756503
270,6,2635,청구(6),1700734
271,5,2524,영등포구청(5),1607627
272,5,2558,오금(5),1587731
273,6,2614,독바위,1444453
274,9,4135,한성백제,1428843
275,2,244,용답,1357138
276,5,2537,동대문역사문화공원(5),1323311
277,3,336,학여울,1268406
278,6,2633,버티고개,1139361
279,4,431,동작,1065634
280,2,250,용두,1033089
281,7,2711,장암,949171
282,4,434,남태령,707705
283,2,247,도림천,705465
284,2,245,신답,669461
285,9,4137,둔촌오륜,580353
